Customer ID,Loan Sanction Amount (USD)
C-26247,84582.72466476163
C-35067,72219.70690868614
C-34590,77105.14720966999
C-16668,63863.18775425243
C-12196,52890.727111349464
C-2600,-3215.071478355574
C-9047,80553.64539486711
C-2206,78436.82673129032
C-25607,-4212.207389410876
C-11606,20536.0066640249
C-3624,66887.17989828446
C-43027,14994.010585191892
C-15190,104330.3751198728
C-25816,2433.413588646159
C-26370,36139.67135552032
C-1281,160906.6679528478
C-29433,2102.8651912617497
C-36256,53122.58422593656
C-34217,38459.91615073703
C-39950,53652.70372314865
C-6756,26087.896684329346
C-26652,45329.421461582155
C-3991,60252.74649565082
C-40312,24352.644694552233
C-24580,141928.32602304584
C-4949,77668.92814475662
C-18783,59778.56668136301
C-39205,56541.99923560713
C-23784,20202.208183696668
C-39508,101039.32123941684
C-19062,102041.0054732248
C-48140,45097.066219940636
C-11314,73814.10406669357
C-766,51997.41195151885
C-39319,-1267.01452338745
C-15299,55418.62930161538
C-10298,40914.31252371869
C-25573,61431.031240911194
C-18750,22218.539717023465
C-19298,31487.55927271204
C-11497,56012.3116869588
C-42250,12813.780753322266
C-17501,55503.82978725634
C-24290,34934.76128492641
C-8590,98255.71633434261
C-8038,69905.17141359978
C-25261,25800.231736855436
C-32634,4359.856312534626
C-15073,43328.35402038024
C-44174,10790.205123842927
C-31916,74112.2304896247
C-30620,20319.16013531384
C-12561,25818.74673587762
C-40301,86160.98582510048
C-14716,2000.3201904182788
C-27558,42557.574530950835
C-32563,28921.977105255704
C-31387,32828.75927168643
C-45649,45459.00797547406
C-22572,20117.44852135697
C-48427,67704.64926541387
C-24904,75879.97530793818
C-27683,5611.481913065596
C-43495,66272.17859249935
C-25735,23731.86909549366
C-21375,56973.63491002933
C-41309,73629.60963975656
C-7767,22691.59284278954
C-11841,20241.0383862303
C-5763,68335.98881263068
C-8389,35199.179609727726
C-16692,37435.539949680446
C-33430,101068.75024221273
C-2953,172520.41792940084
C-11912,30981.973833290336
C-6072,60977.68765149673
C-6321,44570.827831603325
C-26772,51960.98180176632
C-24747,35883.479666720785
C-20883,145234.47936737133
C-11751,57360.77563535486
C-24776,84691.20879286662
C-20642,18681.856019855302
C-9613,11728.172581783787
C-45334,58746.33157420301
C-37941,63926.221342979785
C-2908,36997.438200761506
C-13784,33090.88666602975
C-26710,40136.855064870644
C-1892,57274.11067838149
C-49928,104104.37207481806
C-23082,81184.92747961191
C-27939,42128.03845910769
C-41801,-6791.4482503849285
C-19700,24157.89524610914
C-43113,26221.46758625153
C-27336,79786.74239024328
C-36772,36424.69415711847
C-3197,-2882.6106187721307
C-14674,78041.89830640517
C-5092,10873.473747383308
C-41664,36782.686720821046
C-85,29789.645802782004
C-48382,42362.22755999127
C-35744,75886.67307416938
C-32776,2769.6619182193535
C-49131,32113.539391030703
C-29703,10359.860666268127
C-14880,44816.710802766436
C-36170,11387.101256046823
C-41645,13262.121291481046
C-4784,43614.50299914283
C-38418,62458.76897289796
C-13222,55390.940186864
C-32852,14156.831089781452
C-21795,10152.847531739913
C-121,43164.43572777085
C-39952,17492.309496349713
C-45166,32303.11093049959
C-32641,60833.65955289564
C-27678,19865.3224057139
C-10704,71366.87242915263
C-33461,10746.086297119822
C-22001,80070.83772313569
C-30170,51159.13393633807
C-23960,59123.93226872827
C-16139,20094.438974534307
C-27022,21115.47698030743
C-19074,27592.997092641686
C-49284,12582.441879608697
C-8598,49802.53128308724
C-14962,26698.388202469243
C-35254,780.7158417662577
C-30635,67642.88590487876
C-6981,8595.84535232297
C-5924,33007.427565072925
C-9590,21346.566523240006
C-23842,65860.2698525245
C-45972,109668.65812998559
C-39623,56259.36350602767
C-49153,1777.5973742803762
C-34958,63063.890933333954
C-36476,56081.56764062538
C-28630,9943.172550975025
C-12012,61325.33335326679
C-37986,74878.6536172815
C-11513,66597.27433167817
C-48999,74368.4483278307
C-7194,59113.390416863695
C-14162,57342.327327301115
C-6137,16658.802449969342
C-7348,16353.679501487873
C-25756,10129.994057505683
C-40915,91040.98713698387
C-28646,20162.80705900234
C-31130,43234.74995887888
C-8532,14471.093204255361
C-24097,25402.27510110225
C-1855,19280.53090591621
C-35375,28760.510697036545
C-3997,144545.49798554057
C-42188,42611.16656052004
C-33694,16299.079043522477
C-1613,17854.796807923354
C-9405,76379.56618487826
C-5964,13062.270198700571
C-20231,13138.019172467582
C-23969,19089.87153057396
C-36011,87077.3077927288
C-23079,109753.90778371296
C-44925,23969.909769725346
C-9000,75738.07432650845
C-49513,12534.65703805472
C-49824,60077.85527954684
C-17542,81194.78061760808
C-39446,35431.44326745576
C-24862,32320.62513325445
C-30025,22549.90834873155
C-20039,15879.430310045427
C-34113,78074.80264798523
C-19871,40471.26501789337
C-7017,26029.018354748638
C-16017,76892.54707548578
C-1475,59170.29715181133
C-35040,61938.70938989177
C-37318,27756.134532728873
C-4757,62069.80893301946
C-26696,37095.462732933636
C-2450,110989.8783024165
C-38702,33517.89151936461
C-31969,49658.50826701784
C-34069,31648.7081072382
C-23160,26572.26328998519
C-30804,-6948.873597246376
C-49195,41364.49022108037
C-13029,42226.24635992115
C-39590,-5372.51346687843
C-45950,16889.98864922949
C-1907,144685.81861597954
C-9729,39581.37436261354
C-24353,47662.4319010984
C-3768,96903.5531686017
C-48652,207942.22830073754
C-14858,22455.50727126398
C-32326,15043.20175072379
C-35385,8247.900994800206
C-45900,68261.360834533
C-5823,29771.98567695255
C-29879,33480.11426093502
C-2015,33125.6215964804
C-19823,42715.2876994097
C-19528,68312.01079276431
C-40682,67899.106462352
C-49354,-13861.059666144676
C-25744,92621.40156755113
C-14328,60221.32583224817
C-2727,63176.02974797529
C-45497,30690.59417511389
C-17894,151301.08979396973
C-10903,21374.046133593947
C-39413,56844.87707665461
C-4926,28872.745298971306
C-29376,4965.953819778486
C-7440,27803.24190359129
C-38279,47277.20572480565
C-43246,46343.93305523819
C-33701,31488.846739469824
C-1603,94244.17721143062
C-21756,9076.657661036443
C-20553,-3701.4875896028097
C-40318,15207.138208252407
C-23274,26330.90292003515
C-3521,24624.134811077907
C-19742,30177.875771650113
C-42176,13259.08909923688
C-33938,83181.7989042186
C-20363,82924.27043739558
C-1614,92406.7559435096
C-22568,-1589.0159788437886
C-24796,34863.27750318617
C-25092,40793.83324771671
C-40256,27739.119555374404
C-27504,38186.013046405045
C-25753,64036.45320362877
C-27194,36951.72782107335
C-17798,-8207.147442580594
C-11864,21429.184869722172
C-722,23979.191499404667
C-8111,113690.5436713504
C-25051,10227.196703872265
C-42216,23785.26211649945
C-20767,6805.680520516762
C-22334,64777.48246427323
C-23551,25168.745464117266
C-48437,25499.637797878328
C-21452,46885.755511652096
C-16307,45980.57084290788
C-29324,41123.895125834766
C-4513,268.39372089639073
C-32774,16355.316517245054
C-15695,33204.38452216462
C-48811,89124.65853648304
C-24101,55159.01048038443
C-17567,19135.81032773279
C-3203,22040.01400275409
C-27870,57922.33649119828
C-34250,41387.53129715347
C-6052,39223.97501609547
C-33730,58663.0139209631
C-33735,44779.00294759052
C-41784,7734.443758232752
C-36379,50638.22474930572
C-37051,56629.561731198104
C-45284,-162.69234867428895
C-22611,7133.301595947356
C-15220,21135.01019127763
C-46916,30349.72624408218
C-16477,5774.733096200187
C-32921,67831.19203906751
C-10743,54578.75090253545
C-25717,-3479.6830332659883
C-38804,68332.13171948516
C-47665,100376.76363034607
C-47745,46004.743345892726
C-8340,99908.59605896194
C-35857,-6518.312402535783
C-13835,61134.889692741446
C-8181,101399.08832132313
C-7606,18228.727452302905
C-28889,73302.15758220345
C-19884,19348.826496370166
C-26792,16331.25113798448
C-29963,52408.74645489003
C-23208,30852.402556135465
C-26232,111305.23926560575
C-38972,-4600.267679938639
C-28626,81557.63586670058
C-3278,4759.362730889523
C-9079,32550.22242064675
C-18569,30621.362444181257
C-43756,23304.357805425505
C-17687,57885.6562101875
C-5824,74175.381622605
C-6145,14379.667781523312
C-5160,24364.431684713112
C-13520,43061.80810305971
C-2648,13116.911231369915
C-9345,141531.98224789192
C-46369,159290.88771727934
C-34024,26429.50484753627
C-37594,39428.07388981877
C-16600,49943.431549595494
C-12689,71736.59966464559
C-31285,19353.046779362718
C-20977,62884.79130684925
C-8645,49864.18776918671
C-28949,57567.552869967505
C-42339,9030.717908674444
C-18516,73892.98003705434
C-26843,9388.972092711454
C-37352,40369.17707253137
C-9621,22794.8910173263
C-40583,49374.92530542327
C-44959,46894.88550232872
C-10087,59892.65311351995
C-31261,112903.7384602259
C-2632,39627.50519161549
C-35797,68828.94173262574
C-9943,30488.32872903245
C-48614,-8084.412418418244
C-38577,11715.97852683405
C-9012,12587.711762813095
C-22068,30977.59775449717
C-34390,24803.221617810486
C-17445,21677.442382470937
C-42960,36923.1707857819
C-29172,17089.90197517586
C-8067,31772.432372305717
C-19101,13704.059585862356
C-16365,26283.16749917998
C-46578,85011.2965325487
C-7726,39086.071518024546
C-11802,57728.564392164844
C-26157,18604.487865972624
C-12804,-1092.3719983820629
C-13829,10162.312407099234
C-16434,51125.36828895711
C-27426,106333.86645225369
C-40208,107975.08504213672
C-35800,17200.63203277145
C-14093,50486.048627804965
C-11648,117613.07118095181
C-44330,41432.39694254464
C-3517,50513.398884644674
C-21658,65931.80608077356
C-6711,40695.51317757071
C-16178,26787.547463499097
C-19315,41721.99243393319
C-12505,-12890.572433149006
C-39404,59199.34726249537
C-23783,19086.112229369377
C-40002,40258.98945980932
C-30526,19567.9794342464
C-8034,40865.86477768546
C-33801,95231.21037078212
C-44646,45464.492750777106
C-32172,20419.000724943035
C-15887,47593.48322094648
C-391,23675.388419992727
C-35271,125696.56047191325
C-45419,25787.189024442312
C-26170,-9669.659644881758
C-41141,62187.734574632166
C-19608,26549.70668150572
C-12816,30869.936956217833
C-2852,15170.048756884877
C-23982,27343.072278666543
C-27035,36579.92183694523
C-19243,30532.963451978663
C-33098,11668.442342967784
C-18918,54341.414483978064
C-38094,844.9404765659419
C-39100,47896.45710968657
C-10477,8196.353735815792
C-41693,25782.033582838427
C-25244,45744.105546152656
C-30176,142499.82600267025
C-43024,9903.641656215972
C-17663,23657.377864161215
C-18116,50692.66530072325
C-12113,75856.58103498709
C-47954,33599.77115475506
C-5056,119792.73497001163
C-13678,-9883.254546622775
C-11014,19568.32791876688
C-38944,12270.139978808846
